seq_no,piece,PC,resolveDir
96015,0,4316976,0,
96020,0,4316992,0,
96024,0,4317004,1,
96030,0,4317032,0,
96103,0,3919912,1,
96068,0,4316940,1,
96087,0,4245076,1,
96049,0,4252976,1,
96050,0,4252984,1,
96106,0,3920844,0,
96114,0,3920968,0,
96112,0,3920956,1,
96058,0,4253132,1,
96137,0,4316164,1,
96148,0,3909720,0,
96150,0,3909728,0,
96162,0,3909776,1,
96164,0,3909876,0,
96187,0,4316164,1,
96161,0,3909772,0,
96168,0,3909892,1,
96167,0,3909888,0,
96216,0,4316164,1,
96203,0,3711692,0,
96205,0,3711700,1,
96233,0,3896788,1,
96238,0,3896844,0,
96264,0,4316164,1,
96326,0,4316164,1,
96241,0,3896856,1,
96251,0,3897104,1,
96249,0,3897056,1,
96357,0,3899576,1,
96361,0,3899696,0,
96382,0,4316164,1,
96280,0,3909428,0,
96296,0,3909492,0,
96314,0,3909668,0,
96287,0,3909456,0,
96303,0,3909520,1,
96371,0,3899736,1,
96490,0,3395752,0,
96495,0,3395804,1,
96451,0,3925036,1,
96512,0,3395884,1,
96424,0,3923128,0,
96428,0,3923236,0,
96494,0,3395800,0,
96526,0,3399620,0,
96436,0,3924180,1,
96565,0,3401124,1,
96477,0,3395696,0,
96556,0,3400280,0,
96506,0,3395860,0,
96528,0,3399628,0,
96523,0,3399316,1,
96597,0,3923212,1,
96500,0,3395836,0,
96521,0,3399268,1,
96519,0,3396188,1,
96531,0,3399640,1,
96600,0,3923236,0,
96483,0,3395716,1,
96493,0,3395764,1,
96566,0,3401272,1,
96544,0,3399916,0,
96543,0,3399912,0,
96673,0,3924692,0,
96559,0,3400292,1,
96586,0,3923172,0,
96551,0,3399944,1,
96564,0,3401120,0,
96681,0,3925268,0,
96682,0,3925272,0,
96684,0,3925280,1,
96588,0,3923180,0,
96679,0,3925160,1,
96730,0,3926220,1,
96592,0,3923196,0,
96660,0,3924360,0,
96617,0,3902260,1,
96629,0,3902668,1,
96639,0,3923672,0,
96641,0,3923524,1,
96666,0,3924384,1,
96670,0,3924680,0,
96628,0,3902316,1,
96708,0,3289208,1,
96744,0,3926492,1,
96770,0,4316164,1,
96644,0,3923592,1,
96648,0,3923644,1,
96707,0,3289204,0,
96734,0,3926284,0,
96718,0,3289372,1,
96799,0,3919076,1,
96731,0,3926272,0,
96795,0,3918932,1,
96712,0,3289348,0,
96716,0,3289364,0,
95841,0,4258400,1,
96818,0,3919496,0,
96824,0,3919520,1,
96831,0,3919616,1,
96811,0,3919428,1,
96848,0,3919736,1,
96812,0,3919452,0,
96822,0,3919512,0,
96833,0,3919572,1,
96843,0,3919584,1,
96845,0,3919692,1,
96840,0,3919648,1,
96899,0,4241120,0,
96909,0,4241160,0,
96890,0,4240524,0,
96895,0,4240544,0,
96983,0,4242184,1,
96912,0,4241172,1,
96903,0,4241136,0,
96966,0,4241896,0,
96973,0,4241924,0,
96929,0,4241344,0,
96981,0,4242100,1,
96922,0,4241316,0,
97019,0,4242452,0,
96959,0,4241456,1,
97009,0,4242368,1,
97012,0,4242424,0,
97024,0,4243296,0,
97038,0,4243344,1,
97065,0,4253228,1,
97158,0,4253860,0,
97112,0,4253616,1,
97088,0,4253352,1,
97189,0,4254024,0,
97209,0,4253860,0,
97185,0,4254004,0,
97201,0,4258440,0,
97240,0,4254024,0,
97236,0,4254004,0,
97254,0,4269236,1,
97255,0,4269360,1,
97264,0,4278320,1,
97263,0,4277992,1,
97281,0,4243404,1,
97261,0,4277824,1,
97283,0,4243628,1,
97305,0,4316864,0,
97286,0,4243648,0,
97313,0,4316896,0,
97348,0,4322868,0,
97378,0,4243672,1,
97329,0,4316976,0,
97334,0,4316992,1,
97340,0,4317032,0,
97401,0,4316864,0,
97357,0,4316940,1,
97382,0,4245060,0,
97409,0,4316896,0,
97351,0,4322880,0,
97425,0,4316976,0,
97430,0,4316992,0,
97434,0,4317004,1,
97440,0,4317032,0,
97513,0,3919912,1,
97478,0,4316940,1,
97497,0,4245076,1,
97459,0,4252976,1,
97460,0,4252984,1,
97516,0,3920844,0,
97524,0,3920968,0,
97522,0,3920956,1,
97468,0,4253132,1,
97547,0,4316164,1,
97558,0,3909720,0,
97560,0,3909728,0,
97572,0,3909776,1,
97574,0,3909876,0,
97597,0,4316164,1,
97571,0,3909772,0,
97578,0,3909892,1,
97577,0,3909888,0,
97626,0,4316164,1,
97613,0,3711692,0,
97615,0,3711700,1,
97643,0,3896788,1,
97648,0,3896844,0,
97674,0,4316164,1,
97736,0,4316164,1,
97651,0,3896856,1,
97661,0,3897104,1,
97659,0,3897056,1,
97767,0,3899576,1,
97771,0,3899696,0,
97792,0,4316164,1,
97690,0,3909428,0,
97706,0,3909492,0,
97724,0,3909668,0,
97697,0,3909456,0,
97713,0,3909520,1,
97781,0,3899736,1,
97900,0,3395752,0,
97905,0,3395804,1,
97861,0,3925036,1,
97922,0,3395884,1,
97834,0,3923128,0,
97838,0,3923236,0,
97904,0,3395800,0,
97936,0,3399620,0,
97846,0,3924180,1,
97975,0,3401124,1,
97887,0,3395696,0,
97966,0,3400280,0,
97916,0,3395860,0,
97938,0,3399628,0,
97933,0,3399316,1,
98007,0,3923212,1,
97910,0,3395836,0,
97931,0,3399268,1,
97929,0,3396188,1,
97941,0,3399640,1,
98010,0,3923236,0,
97893,0,3395716,1,
97903,0,3395764,1,
97976,0,3401272,1,
97954,0,3399916,0,
97953,0,3399912,0,
98083,0,3924692,0,
97969,0,3400292,1,
97996,0,3923172,0,
97961,0,3399944,1,
97974,0,3401120,0,
98091,0,3925268,0,
98092,0,3925272,0,
98094,0,3925280,1,
97998,0,3923180,0,
98089,0,3925160,1,
98140,0,3926220,1,
98002,0,3923196,0,
98070,0,3924360,0,
98027,0,3902260,1,
98039,0,3902668,1,
98049,0,3923672,0,
98051,0,3923524,1,
98076,0,3924384,1,
98080,0,3924680,0,
98038,0,3902316,1,
98118,0,3289208,1,
98154,0,3926492,1,
98180,0,4316164,1,
98054,0,3923592,1,
98058,0,3923644,1,
98117,0,3289204,0,
98144,0,3926284,0,
98128,0,3289372,1,
98209,0,3919076,1,
98141,0,3926272,0,
98205,0,3918932,1,
98122,0,3289348,0,
98126,0,3289364,0,
97251,0,4258400,1,
98228,0,3919496,0,
98234,0,3919520,1,
98241,0,3919616,1,
98221,0,3919428,1,
98258,0,3919736,1,
98222,0,3919452,0,
98232,0,3919512,0,
98243,0,3919572,1,
98253,0,3919584,1,
98255,0,3919692,1,
98250,0,3919648,1,
98309,0,4241120,0,
98319,0,4241160,0,
98300,0,4240524,0,
98305,0,4240544,0,
98393,0,4242184,1,
98322,0,4241172,1,
98313,0,4241136,0,
98376,0,4241896,0,
98383,0,4241924,0,
98339,0,4241344,0,
98391,0,4242100,1,
98332,0,4241316,0,
98429,0,4242452,0,
98369,0,4241456,1,
98419,0,4242368,1,
98422,0,4242424,0,
98434,0,4243296,0,
98448,0,4243344,1,
98475,0,4253228,1,
98568,0,4253860,0,
98522,0,4253616,1,
98498,0,4253352,1,
98599,0,4254024,0,
98619,0,4253860,0,
98595,0,4254004,0,
98611,0,4258440,0,
98650,0,4254024,0,
98646,0,4254004,0,
98664,0,4269236,1,
98665,0,4269360,1,
98674,0,4278320,1,
98673,0,4277992,1,
98691,0,4243404,1,
98671,0,4277824,1,
98693,0,4243628,1,
98715,0,4316864,0,
98696,0,4243648,0,
98723,0,4316896,0,
98758,0,4322868,0,
98788,0,4243672,1,
98739,0,4316976,0,
98744,0,4316992,1,
98750,0,4317032,0,
98811,0,4316864,0,
98767,0,4316940,1,
98792,0,4245060,0,
98819,0,4316896,0,
98761,0,4322880,0,
98835,0,4316976,0,
98840,0,4316992,0,
98844,0,4317004,1,
98850,0,4317032,0,
98923,0,3919912,1,
98888,0,4316940,1,
98907,0,4245076,1,
98869,0,4252976,1,
98870,0,4252984,1,
98926,0,3920844,0,
98934,0,3920968,0,
98932,0,3920956,1,
98878,0,4253132,1,
98957,0,4316164,1,
98968,0,3909720,0,
98970,0,3909728,0,
98982,0,3909776,1,
98984,0,3909876,0,
99007,0,4316164,1,
98981,0,3909772,0,
98988,0,3909892,1,
98987,0,3909888,0,
99036,0,4316164,1,
99023,0,3711692,0,
99025,0,3711700,1,
99053,0,3896788,1,
99058,0,3896844,0,
99084,0,4316164,1,
99146,0,4316164,1,
99061,0,3896856,1,
99071,0,3897104,1,
99069,0,3897056,1,
99177,0,3899576,1,
99181,0,3899696,0,
99202,0,4316164,1,
99100,0,3909428,0,
99116,0,3909492,0,
99134,0,3909668,0,
99107,0,3909456,0,
99123,0,3909520,1,
99191,0,3899736,1,
99310,0,3395752,0,
99315,0,3395804,1,
99271,0,3925036,1,
99332,0,3395884,1,
99244,0,3923128,0,
99248,0,3923236,0,
99314,0,3395800,0,
99346,0,3399620,0,
99256,0,3924180,1,
99385,0,3401124,1,
99297,0,3395696,0,
99376,0,3400280,0,
99326,0,3395860,0,
99348,0,3399628,0,
99343,0,3399316,1,
99417,0,3923212,1,
99320,0,3395836,0,
99341,0,3399268,1,
99339,0,3396188,1,
99351,0,3399640,1,
99420,0,3923236,0,
99303,0,3395716,1,
99313,0,3395764,1,
99386,0,3401272,1,
99364,0,3399916,0,
99363,0,3399912,0,
99493,0,3924692,0,
99379,0,3400292,1,
99406,0,3923172,0,
99371,0,3399944,1,
99384,0,3401120,0,
99501,0,3925268,0,
99502,0,3925272,0,
99504,0,3925280,1,
99408,0,3923180,0,
99499,0,3925160,1,
99550,0,3926220,1,
99412,0,3923196,0,
99480,0,3924360,0,
99437,0,3902260,1,
99449,0,3902668,1,
99459,0,3923672,0,
99461,0,3923524,1,
99486,0,3924384,1,
99490,0,3924680,0,
99448,0,3902316,1,
99528,0,3289208,1,
99564,0,3926492,1,
99590,0,4316164,1,
99464,0,3923592,1,
99468,0,3923644,1,
99527,0,3289204,0,
99554,0,3926284,0,
99538,0,3289372,1,
99619,0,3919076,1,
99551,0,3926272,0,
99615,0,3918932,1,
99532,0,3289348,0,
99536,0,3289364,0,
98661,0,4258400,1,
99638,0,3919496,0,
99644,0,3919520,1,
99651,0,3919616,1,
99631,0,3919428,1,
99668,0,3919736,1,
99632,0,3919452,0,
99642,0,3919512,0,
99653,0,3919572,1,
99663,0,3919584,1,
99665,0,3919692,1,
99660,0,3919648,1,
99719,0,4241120,0,
99729,0,4241160,0,
99710,0,4240524,0,
99715,0,4240544,0,
99803,0,4242184,1,
99732,0,4241172,1,
99723,0,4241136,0,
99786,0,4241896,0,
99793,0,4241924,0,
99749,0,4241344,0,
99801,0,4242100,1,
99742,0,4241316,0,
99839,0,4242452,0,
99779,0,4241456,1,
99829,0,4242368,1,
99832,0,4242424,0,
99844,0,4243296,0,
99858,0,4243344,1,
99885,0,4253228,1,
99978,0,4253860,0,
99932,0,4253616,1,
99908,0,4253352,1,
100009,0,4254024,0,
100029,0,4253860,0,
100005,0,4254004,0,
100021,0,4258440,0,
100060,0,4254024,0,
100056,0,4254004,0,
100074,0,4269236,1,
100075,0,4269360,1,
100084,0,4278320,1,
100083,0,4277992,1,
100101,0,4243404,1,
100081,0,4277824,1,
100103,0,4243628,1,
100125,0,4316864,0,
100106,0,4243648,0,
100133,0,4316896,0,
100168,0,4322868,0,
100198,0,4243672,1,
100149,0,4316976,0,
100154,0,4316992,1,
100160,0,4317032,0,
100221,0,4316864,0,
100177,0,4316940,1,
100202,0,4245060,0,
100229,0,4316896,0,
100171,0,4322880,0,
100245,0,4316976,0,
100250,0,4316992,0,
100254,0,4317004,1,
100260,0,4317032,0,
100333,0,3919912,1,
100298,0,4316940,1,
100317,0,4245076,1,
100279,0,4252976,1,
100280,0,4252984,1,
100336,0,3920844,0,
100344,0,3920968,0,
100342,0,3920956,1,
100288,0,4253132,1,
100367,0,4316164,1,
100378,0,3909720,0,
100380,0,3909728,0,
100392,0,3909776,1,
100394,0,3909876,0,
100417,0,4316164,1,
100391,0,3909772,0,
100398,0,3909892,1,
100397,0,3909888,0,
100446,0,4316164,1,
100433,0,3711692,0,
100435,0,3711700,1,
100463,0,3896788,1,
100468,0,3896844,0,
100494,0,4316164,1,
100556,0,4316164,1,
100471,0,3896856,1,
100481,0,3897104,1,
100479,0,3897056,1,
100587,0,3899576,1,
100591,0,3899696,0,
100612,0,4316164,1,
100510,0,3909428,0,
100526,0,3909492,0,
100544,0,3909668,0,
100517,0,3909456,0,
100533,0,3909520,1,
100601,0,3899736,1,
100720,0,3395752,0,
100725,0,3395804,1,
100681,0,3925036,1,
100742,0,3395884,1,
100654,0,3923128,0,
100658,0,3923236,0,
100724,0,3395800,0,
100756,0,3399620,0,
100666,0,3924180,1,
100795,0,3401124,1,
100707,0,3395696,0,
100786,0,3400280,0,
100736,0,3395860,0,
100758,0,3399628,0,
100753,0,3399316,1,
100827,0,3923212,1,
100730,0,3395836,0,
100751,0,3399268,1,
100749,0,3396188,1,
100761,0,3399640,1,
100830,0,3923236,0,
100713,0,3395716,1,
100723,0,3395764,1,
100796,0,3401272,1,
100774,0,3399916,0,
100773,0,3399912,0,
100903,0,3924692,0,
100789,0,3400292,1,
100816,0,3923172,0,
100781,0,3399944,1,
100794,0,3401120,0,
100911,0,3925268,0,
100912,0,3925272,0,
100914,0,3925280,1,
100818,0,3923180,0,
100909,0,3925160,1,
100960,0,3926220,1,
100822,0,3923196,0,
100890,0,3924360,0,
100847,0,3902260,1,
100859,0,3902668,1,
100869,0,3923672,0,
100871,0,3923524,1,
100896,0,3924384,1,
100900,0,3924680,0,
100858,0,3902316,1,
100938,0,3289208,1,
100974,0,3926492,1,
101000,0,4316164,1,
100874,0,3923592,1,
100878,0,3923644,1,
100937,0,3289204,0,
100964,0,3926284,0,
100948,0,3289372,1,
101029,0,3919076,1,
100961,0,3926272,0,
101025,0,3918932,1,
100942,0,3289348,0,
100946,0,3289364,0,
100071,0,4258400,1,
101048,0,3919496,0,
101054,0,3919520,1,
101061,0,3919616,1,
101041,0,3919428,1,
101078,0,3919736,1,
101042,0,3919452,0,
101052,0,3919512,0,
101063,0,3919572,1,
101073,0,3919584,1,
101075,0,3919692,1,
101070,0,3919648,1,
101129,0,4241120,0,
101139,0,4241160,0,
101120,0,4240524,0,
101125,0,4240544,0,
101213,0,4242184,1,
101142,0,4241172,1,
101133,0,4241136,0,
101196,0,4241896,0,
101203,0,4241924,0,
101159,0,4241344,0,
101211,0,4242100,1,
101152,0,4241316,0,
101249,0,4242452,0,
101189,0,4241456,1,
101239,0,4242368,1,
101242,0,4242424,0,
101254,0,4243296,0,
101268,0,4243344,1,
101295,0,4253228,1,
101388,0,4253860,0,
101342,0,4253616,1,
101318,0,4253352,1,
101419,0,4254024,0,
101439,0,4253860,0,
101415,0,4254004,0,
101431,0,4258440,0,
101470,0,4254024,0,
101466,0,4254004,0,
101484,0,4269236,1,
101485,0,4269360,1,
101494,0,4278320,1,
101493,0,4277992,1,
101511,0,4243404,1,
101491,0,4277824,1,
101513,0,4243628,1,
101535,0,4316864,0,
101516,0,4243648,0,
101543,0,4316896,0,
101578,0,4322868,0,
101608,0,4243672,1,
101559,0,4316976,0,
101564,0,4316992,1,
101570,0,4317032,0,
101631,0,4316864,0,
101587,0,4316940,1,
101612,0,4245060,0,
101639,0,4316896,0,
101581,0,4322880,0,
101655,0,4316976,0,
101660,0,4316992,0,
101664,0,4317004,1,
101670,0,4317032,0,
101743,0,3919912,1,
101708,0,4316940,1,
101727,0,4245076,1,
101689,0,4252976,1,
101690,0,4252984,1,
101746,0,3920844,0,
101754,0,3920968,0,
101752,0,3920956,1,
101698,0,4253132,1,
101777,0,4316164,1,
101788,0,3909720,0,
101790,0,3909728,0,
101802,0,3909776,1,
101804,0,3909876,0,
101827,0,4316164,1,
101801,0,3909772,0,
101808,0,3909892,1,
101807,0,3909888,0,
101856,0,4316164,1,
101843,0,3711692,0,
101845,0,3711700,1,
101873,0,3896788,1,
101878,0,3896844,0,
101904,0,4316164,1,
101966,0,4316164,1,
101881,0,3896856,1,
101891,0,3897104,1,
101889,0,3897056,1,
101997,0,3899576,1,
102001,0,3899696,0,
102022,0,4316164,1,
101920,0,3909428,0,
101936,0,3909492,0,
101954,0,3909668,0,
101927,0,3909456,0,
101943,0,3909520,1,
102011,0,3899736,1,
102130,0,3395752,0,
102135,0,3395804,1,
102091,0,3925036,1,
102152,0,3395884,1,
102064,0,3923128,0,
102068,0,3923236,0,
102134,0,3395800,0,
102166,0,3399620,0,
102076,0,3924180,1,
102205,0,3401124,1,
102117,0,3395696,0,
102196,0,3400280,0,
102146,0,3395860,0,
102168,0,3399628,0,
102163,0,3399316,1,
102237,0,3923212,1,
102140,0,3395836,0,
102161,0,3399268,1,
102159,0,3396188,1,
102171,0,3399640,1,
102240,0,3923236,0,
102123,0,3395716,1,
102133,0,3395764,1,
102206,0,3401272,1,
102184,0,3399916,0,
102183,0,3399912,0,
102313,0,3924692,0,
102199,0,3400292,1,
102226,0,3923172,0,
102191,0,3399944,1,
102204,0,3401120,0,
102321,0,3925268,0,
102322,0,3925272,0,
102324,0,3925280,1,
102228,0,3923180,0,
102319,0,3925160,1,
102370,0,3926220,1,
102232,0,3923196,0,
102300,0,3924360,0,
102257,0,3902260,1,
102269,0,3902668,1,
102279,0,3923672,0,
102281,0,3923524,1,
102306,0,3924384,1,
102310,0,3924680,0,
102268,0,3902316,1,
102348,0,3289208,1,
102384,0,3926492,1,
102410,0,4316164,1,
102284,0,3923592,1,
102288,0,3923644,1,
102347,0,3289204,0,
102374,0,3926284,0,
102358,0,3289372,1,
102439,0,3919076,1,
102371,0,3926272,0,
102435,0,3918932,1,
102352,0,3289348,0,
102356,0,3289364,0,
101481,0,4258400,1,
102464,0,3919520,1,
102471,0,3919616,1,
102451,0,3919428,1,
102488,0,3919736,1,
102462,0,3919512,0,
102473,0,3919572,1,
102483,0,3919584,1,
102480,0,3919648,1,
102549,0,4241160,0,
102535,0,4240544,0,
102623,0,4242184,1,
102552,0,4241172,1,
102606,0,4241896,0,
102613,0,4241924,0,
102569,0,4241344,0,
102621,0,4242100,1,
102659,0,4242452,0,
102599,0,4241456,1,
102649,0,4242368,1,
102652,0,4242424,0,
102664,0,4243296,0,
102678,0,4243344,1,
102705,0,4253228,1,
102752,0,4253616,1,
102798,0,4253860,0,
102728,0,4253352,1,
102829,0,4254024,0,
102849,0,4253860,0,
102880,0,4254024,0,
102894,0,4269236,1,
102895,0,4269360,1,
102904,0,4278320,1,
102903,0,4277992,1,
102921,0,4243404,1,
102923,0,4243628,1,
102945,0,4316864,0,
102926,0,4243648,0,
102953,0,4316896,0,
102988,0,4322868,0,
102969,0,4316976,0,
102974,0,4316992,1,
102980,0,4317032,0,
103041,0,4316864,0,
102458,0,3919496,0,
102530,0,4240524,0,
103018,0,4243672,1,
102991,0,4322880,0,
102997,0,4316940,1,
103022,0,4245060,0,
103049,0,4316896,0,
102452,0,3919452,0,
102539,0,4241120,0,
102841,0,4258440,0,
103065,0,4316976,0,
103070,0,4316992,0,
103074,0,4317004,1,
103080,0,4317032,0,
103099,0,4252976,1,
103153,0,3919912,1,
102901,0,4277824,1,
103100,0,4252984,1,
103118,0,4316940,1,
103137,0,4245076,1,
103156,0,3920844,0,
103108,0,4253132,1,
103164,0,3920968,0,
103162,0,3920956,1,
103187,0,4316164,1,
103198,0,3909720,0,
103200,0,3909728,0,
103212,0,3909776,1,
103214,0,3909876,0,
103237,0,4316164,1,
103211,0,3909772,0,
103218,0,3909892,1,
103217,0,3909888,0,
103266,0,4316164,1,
103253,0,3711692,0,
103255,0,3711700,1,
103283,0,3896788,1,
103288,0,3896844,0,
103314,0,4316164,1,
103376,0,4316164,1,
103291,0,3896856,1,
103301,0,3897104,1,
103299,0,3897056,1,
103407,0,3899576,1,
103411,0,3899696,0,
103432,0,4316164,1,
103330,0,3909428,0,
103346,0,3909492,0,
103364,0,3909668,0,
103337,0,3909456,0,
103353,0,3909520,1,
103421,0,3899736,1,
103474,0,3923128,0,
103478,0,3923236,0,
102485,0,3919692,1,
102543,0,4241136,0,
102562,0,4241316,0,
102825,0,4254004,0,
102876,0,4254004,0,
102891,0,4258400,1,
103501,0,3925036,1,
103540,0,3395752,0,
103545,0,3395804,1,
103562,0,3395884,1,
103486,0,3924180,1,
103527,0,3395696,0,
103544,0,3395800,0,
103576,0,3399620,0,
103556,0,3395860,0,
103578,0,3399628,0,
103571,0,3399268,1,
103573,0,3399316,1,
103615,0,3401124,1,
103569,0,3396188,1,
103606,0,3400280,0,
103533,0,3395716,1,
103550,0,3395836,0,
103543,0,3395764,1,
103581,0,3399640,1,
103594,0,3399916,0,
103616,0,3401272,1,
103647,0,3923212,1,
103593,0,3399912,0,
103650,0,3923236,0,
103609,0,3400292,1,
103636,0,3923172,0,
103601,0,3399944,1,
103723,0,3924692,0,
103614,0,3401120,0,
103638,0,3923180,0,
103642,0,3923196,0,
103667,0,3902260,1,
103679,0,3902668,1,
103689,0,3923672,0,
103691,0,3923524,1,
103780,0,3926220,1,
103731,0,3925268,0,
103732,0,3925272,0,
103734,0,3925280,1,
103678,0,3902316,1,
103710,0,3924360,0,
103729,0,3925160,1,
103694,0,3923592,1,
103698,0,3923644,1,
103757,0,3289204,0,
103784,0,3926284,0,
103716,0,3924384,1,
103720,0,3924680,0,
103768,0,3289372,1,
103794,0,3926492,1,
103758,0,3289208,1,
103820,0,4316164,1,
103762,0,3289348,0,
103781,0,3926272,0,
103874,0,3919520,1,
103766,0,3289364,0,
103849,0,3919076,1,
103881,0,3919616,1,
103845,0,3918932,1,
103898,0,3919736,1,
103959,0,4241160,0,
103868,0,3919496,0,
103861,0,3919428,1,
103872,0,3919512,0,
103883,0,3919572,1,
103893,0,3919584,1,
103862,0,3919452,0,
103940,0,4240524,0,
103890,0,3919648,1,
103945,0,4240544,0,
103949,0,4241120,0,
104033,0,4242184,1,
103962,0,4241172,1,
104016,0,4241896,0,
104023,0,4241924,0,
103979,0,4241344,0,
104031,0,4242100,1,
104069,0,4242452,0,
104009,0,4241456,1,
104059,0,4242368,1,
104062,0,4242424,0,
104074,0,4243296,0,
104088,0,4243344,1,
104115,0,4253228,1,
104162,0,4253616,1,
104208,0,4253860,0,
104138,0,4253352,1,
104239,0,4254024,0,
104251,0,4258440,0,
104259,0,4253860,0,
104290,0,4254024,0,
104304,0,4269236,1,
104305,0,4269360,1,
104314,0,4278320,1,
104313,0,4277992,1,
104331,0,4243404,1,
104311,0,4277824,1,
104333,0,4243628,1,
104355,0,4316864,0,
104336,0,4243648,0,
104363,0,4316896,0,
104398,0,4322868,0,
104379,0,4316976,0,
104384,0,4316992,1,
104390,0,4317032,0,
104451,0,4316864,0,
104428,0,4243672,1,
104401,0,4322880,0,
104407,0,4316940,1,
104432,0,4245060,0,
104459,0,4316896,0,
104475,0,4316976,0,
104480,0,4316992,0,
104484,0,4317004,1,
104490,0,4317032,0,
104509,0,4252976,1,
104563,0,3919912,1,
104510,0,4252984,1,
104547,0,4245076,1,
104528,0,4316940,1,
104566,0,3920844,0,
104574,0,3920968,0,
104518,0,4253132,1,
104572,0,3920956,1,
104597,0,4316164,1,
104608,0,3909720,0,
104610,0,3909728,0,
104622,0,3909776,1,
104624,0,3909876,0,
104647,0,4316164,1,
104621,0,3909772,0,
104628,0,3909892,1,
104627,0,3909888,0,
104676,0,4316164,1,
104663,0,3711692,0,
104665,0,3711700,1,
104693,0,3896788,1,
104698,0,3896844,0,
104724,0,4316164,1,
104786,0,4316164,1,
104701,0,3896856,1,
104711,0,3897104,1,
104709,0,3897056,1,
104817,0,3899576,1,
104821,0,3899696,0,
104842,0,4316164,1,
104740,0,3909428,0,
104756,0,3909492,0,
104774,0,3909668,0,
104747,0,3909456,0,
104763,0,3909520,1,
104831,0,3899736,1,
104884,0,3923128,0,
104888,0,3923236,0,
103895,0,3919692,1,
103953,0,4241136,0,
103972,0,4241316,0,
104235,0,4254004,0,
104286,0,4254004,0,
104911,0,3925036,1,
104950,0,3395752,0,
104955,0,3395804,1,
104972,0,3395884,1,
104301,0,4258400,1,
104896,0,3924180,1,
104937,0,3395696,0,
104954,0,3395800,0,
104986,0,3399620,0,
104966,0,3395860,0,
104988,0,3399628,0,
104981,0,3399268,1,
104983,0,3399316,1,
105025,0,3401124,1,
104979,0,3396188,1,
105016,0,3400280,0,
104943,0,3395716,1,
104960,0,3395836,0,
104953,0,3395764,1,
104991,0,3399640,1,
105004,0,3399916,0,
105026,0,3401272,1,
105057,0,3923212,1,
105003,0,3399912,0,
105060,0,3923236,0,
105019,0,3400292,1,
105046,0,3923172,0,
105011,0,3399944,1,
105133,0,3924692,0,
105024,0,3401120,0,
105048,0,3923180,0,
105052,0,3923196,0,
105077,0,3902260,1,
105089,0,3902668,1,
105099,0,3923672,0,
105101,0,3923524,1,
105190,0,3926220,1,
105141,0,3925268,0,
105142,0,3925272,0,
105144,0,3925280,1,
105088,0,3902316,1,
105120,0,3924360,0,
105139,0,3925160,1,
105104,0,3923592,1,
105108,0,3923644,1,
105167,0,3289204,0,
105194,0,3926284,0,
105126,0,3924384,1,
105130,0,3924680,0,
105178,0,3289372,1,
105204,0,3926492,1,
105168,0,3289208,1,
105230,0,4316164,1,
105172,0,3289348,0,
105191,0,3926272,0,
105284,0,3919520,1,
105176,0,3289364,0,
105259,0,3919076,1,
105291,0,3919616,1,
105255,0,3918932,1,
105308,0,3919736,1,
105369,0,4241160,0,
105271,0,3919428,1,
105282,0,3919512,0,
105293,0,3919572,1,
105303,0,3919584,1,
105300,0,3919648,1,
105355,0,4240544,0,
105443,0,4242184,1,
105372,0,4241172,1,
105305,0,3919692,1,
105426,0,4241896,0,
105433,0,4241924,0,
105389,0,4241344,0,
105441,0,4242100,1,
105479,0,4242452,0,
105419,0,4241456,1,
105469,0,4242368,1,
105472,0,4242424,0,
105484,0,4243296,0,
105498,0,4243344,1,
105525,0,4253228,1,
105572,0,4253616,1,
105618,0,4253860,0,
105548,0,4253352,1,
105649,0,4254024,0,
105669,0,4253860,0,
105700,0,4254024,0,
105714,0,4269236,1,
105715,0,4269360,1,
105724,0,4278320,1,
105723,0,4277992,1,
105741,0,4243404,1,
105743,0,4243628,1,
105765,0,4316864,0,
105746,0,4243648,0,
105773,0,4316896,0,
105808,0,4322868,0,
105789,0,4316976,0,
105794,0,4316992,1,
105800,0,4317032,0,
105861,0,4316864,0,
105838,0,4243672,1,
105811,0,4322880,0,
105817,0,4316940,1,
105842,0,4245060,0,
105869,0,4316896,0,
105885,0,4316976,0,
105890,0,4316992,0,
105894,0,4317004,1,
105900,0,4317032,0,
105919,0,4252976,1,
105973,0,3919912,1,
105920,0,4252984,1,
105957,0,4245076,1,
105938,0,4316940,1,
105976,0,3920844,0,
105984,0,3920968,0,
105928,0,4253132,1,
105982,0,3920956,1,
106007,0,4316164,1,
106018,0,3909720,0,
106020,0,3909728,0,
106032,0,3909776,1,
106034,0,3909876,0,
106057,0,4316164,1,
106031,0,3909772,0,
106038,0,3909892,1,
106037,0,3909888,0,
106086,0,4316164,1,
106073,0,3711692,0,
106075,0,3711700,1,
106103,0,3896788,1,
106108,0,3896844,0,
106134,0,4316164,1,
106196,0,4316164,1,
106111,0,3896856,1,
106121,0,3897104,1,
106119,0,3897056,1,
106227,0,3899576,1,
106231,0,3899696,0,
106252,0,4316164,1,
106150,0,3909428,0,
106166,0,3909492,0,
106184,0,3909668,0,
106157,0,3909456,0,
106173,0,3909520,1,
106241,0,3899736,1,
105278,0,3919496,0,
105350,0,4240524,0,
105272,0,3919452,0,
105359,0,4241120,0,
105363,0,4241136,0,
105382,0,4241316,0,
105645,0,4254004,0,
105661,0,4258440,0,
105696,0,4254004,0,
105721,0,4277824,1,
106294,0,3923128,0,
106298,0,3923236,0,
106321,0,3925036,1,
106360,0,3395752,0,
